Fila,Col,Genetica
FILA 1,A,
FILA 1,B,
FILA 1,C,
FILA 1,D,TROPICANA
FILA 1,E,
FILA 1,F,
FILA 1,G,
FILA 1,H,
FILA 2,A,TROPICANA
FILA 2,B,TROPICANA
FILA 2,C,TROPICANA
FILA 2,D,TROPICANA
FILA 2,E,TROPICANA
FILA 2,F,TROPICANA
FILA 2,G,TROPICANA
FILA 2,H,TROPICANA
FILA 3,A,
FILA 3,B,
FILA 3,C,
FILA 3,D,
FILA 3,E,
FILA 3,F,
FILA 3,G,
FILA 3,H,
FILA 4,A,BATEKÚ
FILA 4,B,BATEKÚ
FILA 4,C,BATEKÚ
FILA 4,D,BATEKÚ
FILA 4,E,
FILA 4,F,
FILA 4,G,
FILA 4,H,
FILA 5,A,BATEKÚ
FILA 5,B,BATEKÚ
FILA 5,C,BATEKÚ
FILA 5,D,BATEKÚ
FILA 5,E,BATEKÚ
FILA 5,F,BATEKÚ
FILA 5,G,BATEKÚ
FILA 5,H,BATEKÚ
